0x80618fa0 NtSetInformationKey
0x8054b4b0 CmpLazyFlushIntervalInSeconds
0x80670420 SeAliasSystemOpsSid
0x8059b184 NtReadRequestData
0x804f38bc IopAllocateReserveIrp
0x8065d450 PerfInfoSysModuleRunDown
0x8054c2e4 Kd_NTFS_Mask
0x805cb526 PspGetJobFromSet
0x805d25e6 RtlMakeSelfRelativeSD
0x8064ea1c VerifierKeReleaseMutex
0x8058dfa2 IopReallocateResources
0x80622480 CmpLockRegistry
0x805ee0d8 SeSetSecurityDescriptorInfo
0x80627a66 CmDeleteValueKey
0x8069a218 MiRemoveModuloPages
